wkt_geom	localityId	localityName	dataId	x	y	latitude	longitude	zone	altitude	horiz_precision	vert_precision	planeType	dip	dipAzimuth	strike	declination	unitId	timedate	notes
Point (739979.5781933800317347 4489148.77947045024484396)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	27479afec0688afa770893933bb15ea2	739979.57819338	4489148.77947045	40.51836143	-6.16725259	29T	3	4.74865153	-1	Bedding	39.29809952	193.24307251	103.24307251	-0.25527954	Qtz	Fri Aug 30 12:08:31 2024	
Point (739979.56256299000233412 4489148.55170292034745216)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	acf7842498713bf8067fc7f14b00ca81	739979.56256299	4489148.55170292	40.51835938	-6.16725286	29T	5.34169298	4.74865153	-1	Bedding	34.29296875	198.21928406	108.21928406	-0.25527954	Qtz	Fri Aug 30 12:08:28 2024	
Point (739979.44317352003417909 4489149.01552527956664562)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	936ee7b22327b79b432b880e5573c715	739979.44317352	4489149.01552528	40.51836359	-6.16725409	29T	5.49124496	4.74865153	-1	Bedding	44.41470718	200.90995789	110.90995789	-0.25527954	Qtz	Fri Aug 30 12:08:24 2024	
Point (739979.35182904999237508 4489148.31343020964413881)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	f5f5c9ebb1ee8bbfd576fbc44dc07d27	739979.35182905	4489148.31343021	40.5183573	-6.16725543	29T	5.36442322	3.94707713	-1	Bedding	36.47635651	203.12860107	113.12860107	-0.25527954	Qtz	Fri Aug 30 12:08:13 2024	
Point (739983.66357537999283522 4489156.45845105964690447)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	e3bba506681f0eae55d1740db58e2aa3	739983.66357538	4489156.45845106	40.51842934	-6.16720151	29T	4.69069147	3.10069532	-1	Bedding	35.03107834	207.72253418	117.72253418	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:07:02 2024	
Point (739988.43318891001399606 4489158.8949236897751689)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	3fe0f78a44f7ac661e557dc1cdab890d	739988.43318891	4489158.89492369	40.51844989	-6.16714435	29T	3.08873732	4.74865148	-1	Bedding	30.22960472	205.8946991	115.8946991	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:03:47 2024	
Point (739986.58341329998802394 4489159.47880956996232271)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	40dfa03713b93ef56eb6d759bfee5911	739986.5834133	4489159.47880957	40.51845567	-6.16716594	29T	3.29039059	4.74865153	-1	Bedding	35.47547531	207.31015015	117.31015015	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:03:35 2024	
Point (739987.14850665000267327 4489159.54407985974103212)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	73d8baa9a1ce06e47de00231f21b980b	739987.14850665	4489159.54407986	40.5184561	-6.16715925	29T	8.89842036	4.74865153	-1	Bedding	23.69900131	200.22148132	110.22148132	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:03:24 2024	
Point (739988.54426747001707554 4489157.89981686975806952)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	59cca4b373d46260e718908134a21d9a	739988.54426747	4489157.89981687	40.5184409	-6.16714342	29T	6.90539165	4.27867643	-1	Bedding	29.04683304	216.05335999	126.05335999	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:03:13 2024	
Point (739988.61098561994731426 4489160.07949506025761366)	cde4dee5e3fca07bb31721768c7528df	15I	6d79e7aec4237c8b329230e427fe1e20	739988.61098562	4489160.07949506	40.51846049	-6.16714181	29T	3	26.90422144	-1	Bedding	24.82336807	199.00073242	109.00073242	-0.25527954	Qtz	Fri Aug 30 11:42:51 2024	
